,ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City,Day,Month,Revenue
0,1,Headphones,Electronics,400.31,1.7,3772,20,0.08,466,2023-11-10,Albuquerque,Friday,November,171620.9032
1,2,Headphones,Electronics,235.03,2.3,2919,663,0.33,1332,2023-09-28,Queens,Thursday,September,209750.1732
2,3,Smartwatch,Electronics,417.9,1.8,1184,459,0.31,252,2023-10-20,Austin,Friday,October,72664.452
3,4,Smartphone,Electronics,152.7,3.4,2047,475,0.49,1806,2023-12-05,Dallas,Tuesday,December,140645.862
4,5,Laptop,Electronics,394.74,1.8,1267,831,0.23,1508,2023-08-10,Tucson,Thursday,August,458356.29839999997
5,6,Headphones,Electronics,93.56,1.3,2435,600,0.48,241,2023-09-21,Louisville,Thursday,September,11724.9392
6,7,Laptop,Electronics,57.86,3.7,1478,427,0.25,1966,2024-05-08,Cleveland,Wednesday,May,85314.56999999999
7,8,Laptop,Electronics,201.62,1.7,3073,389,0.1,1795,2023-08-07,Houston,Monday,August,325717.11
8,9,Smartphone,Electronics,485.1,4.1,161,201,0.45,269,2023-06-27,Cape Coral,Tuesday,June,71770.545
9,10,Smartwatch,Electronics,170.0,3.3,1275,701,0.16,719,2023-10-19,Minneapolis,Thursday,October,102673.20000000001
10,11,Laptop,Electronics,274.45,3.3,4859,187,0.27,1064,2024-01-07,Memphis,Sunday,January,213170.804
11,12,Headphones,Electronics,90.98,1.1,2568,343,0.2,647,2024-04-10,Mesa,Wednesday,April,47091.24800000001
12,13,Headphones,Electronics,107.43,3.8,4514,288,0.3,1513,2023-10-25,Palm Bay,Wednesday,October,113779.11300000001
13,14,Laptop,Electronics,66.78,4.5,4875,929,0.05,502,2024-04-11,Columbia,Thursday,April,31847.382
14,15,Smartwatch,Electronics,336.3,3.4,2773,986,0.28,1762,2024-03-03,Seattle,Sunday,March,426643.632
15,16,Headphones,Electronics,359.49,4.0,502,766,0.13,794,2023-11-18,Hartford,Saturday,November,248328.50220000002
16,17,Headphones,Electronics,64.34,2.8,863,742,0.24,1020,2024-03-08,Palm Bay,Friday,March,49876.368
17,18,Smartwatch,Electronics,454.71,2.0,1678,170,0.1,524,2024-01-04,Charlotte,Thursday,January,214441.23599999998
18,19,Headphones,Electronics,151.98,1.6,2625,681,0.4,1976,2024-01-30,Charlotte,Tuesday,January,180187.48799999998
19,20,Smartwatch,Electronics,403.8,1.7,1981,330,0.16,1371,2023-10-25,Akron,Wednesday,October,465032.232
20,21,Laptop,Electronics,63.93,1.9,4029,632,0.41,1768,2023-09-27,San Francisco,Wednesday,September,66686.66159999999
21,22,Headphones,Electronics,90.68,3.1,4413,676,0.35,1257,2023-12-23,Austin,Saturday,December,74090.09400000001
22,23,Smartwatch,Electronics,472.03,2.3,1495,232,0.2,1853,2024-04-21,Cincinnati,Sunday,April,699737.2719999999
23,24,Smartwatch,Electronics,133.37,3.0,1636,624,0.5,698,2024-02-20,Spokane,Tuesday,February,46546.130000000005
24,25,Laptop,Electronics,256.31,1.2,3474,637,0.07,1707,2023-11-07,New York,Tuesday,November,406894.6881
25,26,Smartwatch,Electronics,280.92,3.4,3510,202,0.18,400,2023-10-01,Indianapolis,Sunday,October,92141.76
26,27,Laptop,Electronics,190.21,3.5,197,981,0.27,751,2024-01-20,Virginia Beach,Saturday,January,104278.8283
27,28,Smartphone,Electronics,83.85,3.0,2511,348,0.43,763,2023-07-02,Baltimore,Sunday,July,36467.203499999996
