No;Date;Shift;Place of Occurrence;Root Cause;Accident Category;Accident Type;Detailed Root Cause;Error Types
1;Tuesday, 07 January 2020;I;Vessel;Man;Work Accident;Worker hits while working;Undefined;
2;Tuesday, 07 January 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;Twist lock still locked while hoisting;Lapse and Mistake
3;Wednesday, 08 January 2020;III;CY;Man;Cargodoring Occurrences;Traffic Collision;;Slip
4;Thursday, 16 January 2020;I;CY;Machine;Cargodoring Occurrences;Equipment Malfunction;;
5;Saturday, 18 January 2020;III;CY;Man;Cargodoring Occurrences;Traffic Collision;;Lapse and Mistake
6;Saturday, 18 January 2020;II;CY;Man;Cargodoring Occurrences;Traffic Collision;;
7;Monday, 20 January 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;Slip and Lapse
8;Sunday, 26 January 2020;II;Gate;Man;Receiving/Delivery Occurrences;Traffic Collision;;Slip and Lapse
9;Wednesday, 29 January 2020;II;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;Lower wire stuck in spreader;Slip
10;Tuesday, 28 January 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;Slip
11;Wednesday, 05 February 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
12;Tuesday, 18 February 2020;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
13;Saturday, 22 February 2020;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
14;Monday, 24 February 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;Hatch lock still locked while hoisting;
15;Monday, 24 February 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;Twist lock still locked while hoisting;
16;Tuesday, 25 February 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
17;Wednesday, 26 February 2020;III;Vessel;Environment;Stevedoring Occurrences;Loading and Unloading Accident;Vessel moved because of waves;
18;Saturday, 29 February 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
19;Tuesday, 03 March 2020;II;CY;Man;Cargodoring Occurrences;Traffic Collision;;
20;Friday, 06 March 2020;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
21;Friday, 06 March 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;Container stuck in cell guide;
22;Sunday, 08 March 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
23;Sunday, 15 March 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
24;Sunday, 29 March 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
25;Friday, 03 April 2020;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;Vessel operator unaware of vehicle;
26;Sunday, 05 April 2020;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
27;Wednesday, 08 April 2020;III;Quay;Machine;Stevedoring Occurrences;Loading and Unloading Accident;Wire trolley derailed;
28;Wednesday, 08 April 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
29;Friday, 17 April 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
30;Tuesday, 21 April 2020;I;Quay;Machine;Stevedoring Occurrences;Traffic Collision;Equipment Malfunction;
31;Wednesday, 22 April 2020;III;CY;Method;Stevedoring Occurrences;Traffic Collision;;
32;Wednesday, 22 April 2020;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;Equipment Malfunction;
33;Thursday, 30 April 2020;III;CY;Machine;Cargodoring Occurrences;Fire;;
34;Thursday, 07 May 2020;III;CY;Man;Cargodoring Occurrences;Equipment Malfunction;;
35;Thursday, 07 May 2020;II;Vessel;Man;Stevedoring Occurrences;Loading and Unloading Accident;;
36;Sunday, 07 June 2020;I;CY;Man;Cargodoring Occurrences;Traffic Collision;;
37;Wednesday, 17 June 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
38;Saturday, 20 June 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
39;Sunday, 21 June 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
40;Saturday, 27 June 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
41;Friday, 03 July 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
42;Saturday, 18 July 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
43;Saturday, 18 July 2020;II;CY;Machine;Cargodoring Occurrences;Equipment Malfunction;;
44;Sunday, 19 July 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
45;Monday, 20 July 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
46;Sunday, 02 August 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
47;Wednesday, 12 August 2020;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
48;Thursday, 20 August 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
49;Sunday, 30 August 2020;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
50;Friday, 11 September 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
51;Sunday, 13 September 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
52;Monday, 14 September 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;Misalignment;
53;Thursday, 17 September 2020;II;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;Equipment Malfunction;
54;Thursday, 24 September 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
55;Thursday, 24 September 2020;III;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
56;Sunday, 04 October 2020;III;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
57;Sunday, 04 October 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
58;Thursday, 08 October 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
59;Saturday, 17 October 2020;I;Vessel;Machine;Stevedoring Occurrences;Loading and Unloading Accident;;
60;Saturday, 24 October 2020;III;CY;Machine;Cargodoring Occurrences;Fire;;
61;Sunday, 25 October 2020;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
62;Monday, 26 October 2020;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
63;Tuesday, 27 October 2020;II;Gate;Method;Receiving/Delivery Occurrences;Traffic Collision;;
64;Saturday, 31 October 2020;I;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
65;Thursday, 19 November 2020;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
66;Thursday, 19 November 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
67;Thursday, 26 November 2020;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
68;Friday, 27 November 2020;III;Quay;Method;Stevedoring Occurrences;Equipment Malfunction;;
69;Saturday, 28 November 2020;II;Gate;Method;Receiving/Delivery Occurrences;Traffic Collision;;
70;Saturday, 28 November 2020;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
71;Monday, 14 December 2020;I;CY;Method;Cargodoring Occurrences;Equipment Malfunction;;
72;Saturday, 19 December 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
73;Saturday, 19 December 2020;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
74;Saturday, 26 December 2020;II;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
75;Tuesday, 29 December 2020;II;CY;Machine;Cargodoring Occurrences;Loading and Unloading Accident;;
76;Tuesday, 29 December 2020;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
77;Saturday, 02 January 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
78;Saturday, 16 January 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
79;Monday, 25 January 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
80;Tuesday, 26 January 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
81;Tuesday, 26 January 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
82;Friday, 29 January 2021;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
83;Saturday, 30 January 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
84;Wednesday, 06 January 2021;III;CY;Method;Cargodoring Occurrences;Equipment Malfunction;;
85;Wednesday, 06 January 2021;II;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
86;Friday, 08 January 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
87;Thursday, 11 February 2021;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
88;Tuesday, 16 February 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
89;Wednesday, 24 February 2021;I;Quay;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
90;Sunday, 21 February 2021;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
91;Saturday, 27 February 2021;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
